method,model_id,test_scale,instance_index,preference_id,cost_weight,risk_weight,expected_restarts,observed_restarts,feasible_rate,all_restarts_feasible,terminal_clear_rate,technical_failure_rate,missing_rate,runtime_seconds,successful_runtime_seconds_conditional,failed_runtime_seconds_conditional,solver_status,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk
ga,GA,Test-2,47,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.233752933330834,3.233752933330834,,completed,2050.9256339999997,58.474544261986516,0.5806596391913359,0.8295657612154659,2050.9256339999997,0.5806596391913359,150.0,1400.022,500.903634,23.160498290860488,0.5764709711260171,34.73757500000001,0.0
ga,GA,Test-2,48,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.1082204999790215,3.1082204999790215,,completed,2814.195995,30.74486130853987,0.9013835303993701,0.6923369015259295,30.74486130853987,0.6923369015259295,150.0,1983.5349999999999,680.660995,7.527803459015917,0.6816758495239551,22.535382,0.0
ga,GA,Test-2,48,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.0787762999922657,3.0787762999922657,,completed,2683.6706616666665,32.195119257084464,0.8595764259988273,0.7249949475139209,695.06400485948,0.7586403171351476,166.66666666666666,1836.343,680.660995,9.071823996822255,0.587913260262211,22.535382,0.0
ga,GA,Test-2,48,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,2.9098524000340453,2.9098524000340453,,completed,2518.9509949999997,31.98513916458701,0.8068169185124955,0.7202664510942142,1275.4680670822936,0.7635416848033548,150.0,1688.2899999999997,680.660995,8.733868196406466,0.7158889681805464,22.535382,0.0
ga,GA,Test-2,48,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.294342100038193,3.294342100038193,,completed,2473.190995,33.03181289277773,0.7921600465588862,0.7438362710589858,1863.1511994731943,0.780079102683911,150.0,1642.53,680.660995,9.503310600378759,0.9931202923989707,22.535382,0.0
ga,GA,Test-2,48,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.297876400019353,3.297876400019353,,completed,2457.996995,39.41214205173015,0.7872934269683455,0.8875135274399626,2457.996995,0.7872934269683455,150.0,1627.336,680.6609950000001,15.317034250797663,1.5597258009324895,22.535382,0.0
ga,GA,Test-2,49,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.2236920999906338,3.2236920999906338,,completed,2630.741098666667,30.610278821994303,0.7511047972152819,0.663331269587431,30.610278821994303,0.663331269587431,166.66666666666666,1969.673,494.40143200000006,9.165442832886889,0.28242598910742006,21.162409999999998,0.0
ga,GA,Test-2,49,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,2.93266086660636,2.93266086660636,,completed,2540.0424566666666,32.37874350702628,0.7252093622210749,0.7016542764298223,659.2946717969363,0.7075430478776354,150.0,1859.18,530.8624566666667,11.06539676631734,0.15093674070894,21.162409999999998,0.0
ga,GA,Test-2,49,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.2025266000224897,3.2025266000224897,,completed,2211.944454,32.012379946340126,0.6315338637523785,0.6937150999442458,1121.9784169731702,0.6626244818483121,150.0,1593.405,468.53945400000003,10.380841715153466,0.46912823118666,21.162409999999998,0.0
ga,GA,Test-2,49,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.1513900333084166,3.1513900333084166,,completed,2194.559454,35.20535110299109,0.6265702598058686,0.7629074657967089,1654.7209282757478,0.6606545613035788,150.0,1576.0200000000002,468.53945400000003,13.419876805786009,0.62306429720508,21.162409999999998,0.0
