model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-2,9,C050-R050,0.7176811125056733,0.7390198372165013,2.8874359842896404
Train-L,Test-2,9,C075-R025,0.7254192839743011,0.7352517592910907,1.3372936810473932
Train-L,Test-2,9,C100-R000,0.7277095348661008,0.7390901568885329,1.5398151249020693
Train-L,Test-2,10,C000-R100,0.1209216350134183,0.859194706704021,85.92616620308465
Train-L,Test-2,10,C025-R075,0.5686673182305427,0.863142153468326,34.11660918824415
Train-L,Test-2,10,C050-R050,0.7936339201538236,0.849169704714459,6.540010112502749
Train-L,Test-2,10,C075-R025,0.7893880855050504,0.842021231080348,6.250809793449879
Train-L,Test-2,10,C100-R000,0.7659026710996546,0.8091206218864345,5.341348325299
Train-L,Test-2,11,C000-R100,0.28193426780904257,0.7264300382887399,61.18906805214187
Train-L,Test-2,11,C025-R075,0.6220115729149952,0.7286964662461296,14.640511965252179
Train-L,Test-2,11,C050-R050,0.6848991889375218,0.7585446006756428,9.708778056362718
Train-L,Test-2,11,C075-R025,0.7123735347301846,0.7460754295040039,4.517223519373168
Train-L,Test-2,11,C100-R000,0.7092711279510816,0.7139852090693738,0.6602491281908546
Train-L,Test-2,12,C000-R100,0.17270757560596342,0.6383353144746754,72.9440669050098
Train-L,Test-2,12,C025-R075,0.559850206615191,0.6845874667582986,18.220792258112944
Train-L,Test-2,12,C050-R050,0.6590108373790385,0.689188448936477,4.378716968342569
Train-L,Test-2,12,C075-R025,0.675218708858253,0.7206127379214259,6.299365342071233
Train-L,Test-2,12,C100-R000,0.6701442619369161,0.6981024441274868,4.004882438925392
Train-L,Test-2,13,C000-R100,0.133019180743554,0.4472657697217442,70.25947663593645
Train-L,Test-2,13,C025-R075,0.43494786561165033,0.4847555407328343,10.274802645037678
Train-L,Test-2,13,C050-R050,0.5149642440019448,0.5190540081283938,0.7879265090728775
Train-L,Test-2,13,C075-R025,0.5495477568977343,0.5788838066244018,5.067692236501209
Train-L,Test-2,13,C100-R000,0.5635935168148766,0.6092056488667841,7.487148574008312
