method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
ga,GA,25,C000-R100,0.6381352963473985,0.22657704951008945,solver_status_1,
ga,GA,25,C025-R075,0.7332241846251185,0.6034878338468875,solver_status_1,
ga,GA,25,C050-R050,0.8283130729028385,0.8171535890442219,optimal,1.365653165847226
ga,GA,25,C075-R025,0.9234019611805584,0.9234019610006455,optimal,1.9483699405497357e-08
ga,GA,25,C100-R000,0.9998242120952575,0.9998242120952574,optimal,1.110418222717916e-14
ga,GA,26,C000-R100,0.686583006611336,0.2866457635263369,solver_status_1,
ga,GA,26,C025-R075,0.76575071336439,0.5943601343468549,solver_status_1,
ga,GA,26,C050-R050,0.8168760142920185,0.7934308954354268,solver_status_1,
ga,GA,26,C075-R025,0.8742985231340891,0.861140219869371,optimal,1.5280093718899976
ga,GA,26,C100-R000,0.9093812687899813,0.9010768916206956,optimal,0.9216058303691759
ga,GA,27,C000-R100,0.6947471443062971,0.2888984646146115,solver_status_1,
ga,GA,27,C025-R075,0.759665233348533,0.6629236352645966,solver_status_1,
ga,GA,27,C050-R050,0.8458212621044673,0.8103443465509471,optimal,4.3780049437649415
ga,GA,27,C075-R025,0.9275623198832706,0.8972747881828909,optimal,3.375502365525766
ga,GA,27,C100-R000,0.956885071395825,0.9358243111007726,optimal,2.2505036517249173
ga,GA,28,C000-R100,0.6085956486394601,0.23329855656606663,solver_status_1,
ga,GA,28,C025-R075,0.6698157387402569,0.520224019535216,solver_status_1,
ga,GA,28,C050-R050,0.6858778644038264,0.6549787375559653,optimal,4.717577087030388
ga,GA,28,C075-R025,0.7202870121907036,0.6835715212487542,optimal,5.37112647333189
ga,GA,28,C100-R000,0.6900870470089423,0.6900870470089424,optimal,-1.608815915959034e-14
ga,GA,29,C000-R100,0.6304697425819763,0.3878652776450335,solver_status_1,
ga,GA,29,C025-R075,0.701902172614155,0.5688517336203818,solver_status_1,
ga,GA,29,C050-R050,0.7501148578926898,0.6621695247514908,optimal,13.28139243107035
ga,GA,29,C075-R025,0.7983275431712252,0.7136844866012313,optimal,11.860010713289885
ga,GA,29,C100-R000,0.8311365875537987,0.7402505997417812,optimal,12.277732411661797
ga,GA,30,C000-R100,0.6300720478020342,0.22992784756222576,solver_status_1,
ga,GA,30,C025-R075,0.7315715325572474,0.5303096012221682,solver_status_1,
ga,GA,30,C050-R050,0.7621703658822909,0.7033437189339578,solver_status_1,
ga,GA,30,C075-R025,0.8224649772091119,0.8224649772091115,optimal,5.399490825214227e-14
ga,GA,30,C100-R000,0.874856123829434,0.874856123829434,optimal,0.0
ga,GA,31,C000-R100,0.7592623540004116,0.2361341879180553,solver_status_1,
ga,GA,31,C025-R075,0.8175253284644519,0.5566014717787396,solver_status_1,
ga,GA,31,C050-R050,0.8462385779281708,0.7842115938410602,solver_status_1,
ga,GA,31,C075-R025,0.8387831513007254,0.8387831513007254,optimal,0.0
ga,GA,31,C100-R000,0.8327600041966736,0.8327600041966736,optimal,0.0
ga,GA,32,C000-R100,0.6684996810947063,0.24748827768155934,solver_status_1,
